stt,link,thoigian,giaphong,dientich,vido,kinhdo,drmd,diachi,chitiet
3,https://phongtro123.com/cho-thue-phong-tro-sinh-vien-nguoi-di-lam-1-pr309045.html,Ngày đăng20 giờ trước,Giá cho thuê2.5 triệu/tháng,Diện tích17m2,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",21.0347417,3.3,105.7946177,"Cho thuê phòng trọĐịa chỉ : ngõ 337 đường Cầu Giấy , Hà Nội .Phòng tầng 3 , khép kín , diện tích 17m2 , có ban công ,giường ,móc treo quần áo , bàn học .Tiện nghi nóng lạnh ,điều hòa , wifi.Giờ giấc thoải mái .Nhà cạnh chợ .An ninh tốt.Gần trạm xe bus , cách công viên Cầu Giấy 200m , gần các trường đhoc .Không nhận môi giới trung gian ,phòng 2tr5lh : 0975755948( cô Nhiên )"
2,https://phongtro123.com/phong-khep-kin-sach-dep-quan-ba-dinh-pr585428.html,Ngày đăng20 giờ trước,Giá cho thuê3.5 triệu/tháng,Diện tích20m2,"Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội",21.0350065,2.7,105.8104056,"- Phòng sạch đẹp, khách hàng lịch sự, văn minh, yên tĩnh. Điện nước đầy đủ.- Phòng có kệ bếp nấu ăn, wifi, tivi, điều hoà, nóng lạnh, máy giặt...- Vị trí gần công viên, an toàn văn minh, gần chợ, trường học, phố lớn..- Đ/chi: số 41 phố Linh Lang, Ba Đình, Hà Nội ( Chính chủ, ko ở chung chủ)"
4,https://phongtro123.com/nha-tt-30m2-d4-thanh-cong-ba-dinh-pr585781.html,Ngày đăng22 giờ trước,Giá cho thuê4 triệu/tháng,Diện tích30m2,"Nguyên Hồng, Phường Thành Công, Quận Ba Đình, Hà Nội",21.020345,3.0,105.8122379,"Có sẵn giường, tủ, tủ bếp, bếp ga, điều hòa, máy lạnh, máy giặt, bình nước nóng, điện nước giá nhà nước"
5,https://phongtro123.com/tinh-thanh/ha-noi/phong-tro-moi-xay-22m2-gac-lung-8m2-chinh-chu-khu-bui-xuong-trach-thanh-xuan-gan-royal-city.html,Ngày đăng18 giờ trước,Giá cho thuê3 triệu/tháng,Diện tích22m2,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",20.9880064,2.5,105.8183255,"Nhà tôi hiện có 8 phòng trọ mới xây cho thuê rộng 22m2, có gác lửng rộng 8m2, khép kín, chính chủ.Gần chợ, gần trường học, siêu thị, trung tâm thương mại.- Phòng khép kín gồm: Khu sinh hoạt chung, khu bếp, khu vệ sinh, gác lửng, ban công.- Phòng rộng 22m2, gác lửng 8m2, thoáng mát, có ban công rộng, 2 cửa sổ rộng.- Có bình nóng lạnh.- Có sân phơi chung rộng, có lắp camera.- Có hầm để xe (miễn phí), có camera giám sát 24/24.- Internet cáp quang tốc độ cao gói cước công ty, lướt web cực nhanh.- Thích hợp ở gia đình có em bé, sinh viên, nhân viên văn phòng...- Khu vực an ninh, đảm bảo môi trường sống sạch sẽ.- Nằm trong khu dân cư cao cấp, nội bộ, rất an ninh và yên tĩnh, ở chung với những người có trí thức, ý thức cao.- Giá: 3,000,000VND.Liên hệ Ms Nguyễn Thị Nhàn: 0904.054.183 để hẹn giờ xem phòng. 1/1/2019 là có thể đến nhận phòng."
1,https://phongtro123.com/phong-tro-khep-kin-vi-tri-dep-o-hao-nam-dong-da-hn-chinh-chu-pr585081.html,Ngày đăng17 giờ trước,Giá cho thuê3.6 triệu/tháng,Diện tích24m2,"22 ngõ 127 ngách 38 Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",21.0252091,3.1,105.8265875,"Cho thuê phòng trọ khép kín ở phố Hào Nam (chính chủ), diện tích 24m2 gồm 2 phòng:Phòng 1: 18m2 (ngủ + sinh hoạt chung)Phòng 2: 6m2 (bếp + vệ sinh)Phòng đầy đủ tiện nghi: nóng lạnh, điều hòa, tủ bếp...Ở khu vực trung tâm, yên tĩnh, riêng biệt không chung với chủ nhà, thuận tiện đường đi.Gần chợ, siêu thị, cửa hàng tiện ích, cửa hàng tạp hóa, các trường ĐH Văn hóa, Mỹ Thuật, Nhạc viện, Bệnh viện Hà Thành..Phòng riêng biệt, an ninh tốt.Chủ nhà dễ tính, tâm lý"
0,https://phongtro123.com/cho-thue-phong-tro-co-dieu-hoa-nong-lanh-pr585544.html,Ngày đăng7 giờ trước,Giá cho thuê1.6 triệu/tháng,Diện tích12m2,"27 ngõ 1160 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",21.025943,2.5,105.7998237,"Có phòng trọ cho sinh viên thuê. Phòng 12m2, có điều hoà, nóng lạnh. Phòng không khép kín. Phòng thoáng mát. Chỗ để xe có camera rất an toàn, chỗ ở an ninh cao. Địa điểm gần chợ, bệnh viện. Gần các trường đại học thuận tiện cho việc đi lại.Liên hệ: 0355651818 hoặc 0896851818"
