stt,link,thoigian,giaphong,dientich,vido,kinhdo,drmd,diachi,chitiet
3,https://phongtro123.com/chung-cu-mini-cau-giay-trung-kinh-chinh-chu-4tr-pr585761.html,Ngày đăng15 giờ trước,Giá cho thuê3.8 triệu/tháng,Diện tích28m2,"123 Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",21.0139674,2.9,105.7967068,"Phòng Chính Chủ #123_Trung_Kính giao Trần Duy Hưng. Full đồ thang máy, điều hoà lạnh sâu, nóng lạnh siêu tốc, giường tủ, #MÁY_GIẶT, #HẦM_XE_RỘNG,Không chung chủ, tự do giờ giấc.Số xe 1-3 xeNgười ở: tối đa 4 ngườiGiá thuê: 3.6-3.8-4.0-4.3tr/thángLH chủ nhà: 0983562893"
6,https://phongtro123.com/tinh-thanh/ha-noi/phong-tro-moi-xay-22m2-gac-lung-8m2-chinh-chu-khu-bui-xuong-trach-thanh-xuan-gan-royal-city.html,Ngày đăng20 giờ trước,Giá cho thuê3 triệu/tháng,Diện tích22m2,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",20.9880064,2.3,105.8183255,"Nhà tôi hiện có 8 phòng trọ mới xây cho thuê rộng 22m2, có gác lửng rộng 8m2, khép kín, chính chủ.Gần chợ, gần trường học, siêu thị, trung tâm thương mại.- Phòng khép kín gồm: Khu sinh hoạt chung, khu bếp, khu vệ sinh, gác lửng, ban công.- Phòng rộng 22m2, gác lửng 8m2, thoáng mát, có ban công rộng, 2 cửa sổ rộng.- Có bình nóng lạnh.- Có sân phơi chung rộng, có lắp camera.- Có hầm để xe (miễn phí), có camera giám sát 24/24.- Internet cáp quang tốc độ cao gói cước công ty, lướt web cực nhanh.- Thích hợp ở gia đình có em bé, sinh viên, nhân viên văn phòng...- Khu vực an ninh, đảm bảo môi trường sống sạch sẽ.- Nằm trong khu dân cư cao cấp, nội bộ, rất an ninh và yên tĩnh, ở chung với những người có trí thức, ý thức cao.- Giá: 3,000,000VND.Liên hệ Ms Nguyễn Thị Nhàn: 0904.054.183 để hẹn giờ xem phòng. 1/1/2019 là có thể đến nhận phòng."
0,https://phongtro123.com/cho-thue-phong-tro-tai-nguyen-an-ninh-truong-dinh-gan-dhkt-xd-bk-pr315520.html,Ngày đăng3 giờ trước,Giá cho thuê3 triệu/tháng,Diện tích30m2,"57/35 Đường Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",20.989013,3.1,105.845889,"Cho thuê chung cư mini tại Số 57 Ngõ 35 Phố Nguyễn An Ninh - Tương Mai - Hoàng Mai – Hà Nội.(Chính chủ không qua trung gian)- Phòng đẹp, thiết kế tiện dụng, thoáng mát, công trình khép kín, riêng tư độc lập, đảm bảo xem là thích.- Còn phòng 20-30m2 có điều hòa thoáng mát .- Nhà vệ sinh khép kín xịn, tiện nghi, có Nóng lạnh.- Điện, nước, internet giá rẻ, công tơ điện riêng. - Có cáp Tivi, camera 24/24 yên tâm an ninh.- Để xe tầng 1 tiện lợi miễn phí, Ô tô đỗ đón tận cửa.- Giá: 3,0-3,8 tr/tháng ( thanh toán 2 tháng một lần, cọc 1 tháng) .- Địa Chỉ: Số 57 Ngõ 35 Phố Nguyễn An Ninh – Hà Nội. Liên hệ gọi điện hẹn trước thời gian xem phòng vào khoảng 11h-14h sáng và 17h-19h chiều, ngoài giờ đó thì gọi điện lhe trước. : Chị Trang 0934.672.806"
1,https://phongtro123.com/tinh-thanh/ha-noi/cho-thue-phong-tro-cach-ben-xe-nuoc-ngam-500m.html,Ngày đăng14 giờ trước,Giá cho thuê2 triệu/tháng,Diện tích18m2,"Số 7 ngõ 2 Đường Hoàng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",20.9663313,2.4,105.8369051,"Địa chỉ: số 7 tổ 18 Khu dân cư Linh Đàm - P. Hoàng Liệt - Q. Hoàng Mai - Hà Nội (Cách bến xe nước ngầm 500m, cách trường THCS Hoàng Liệt 15 m).Đặc điểm phòng:- Có toilet riêng trong phòng- Có wifi, truyền hình cáp- Có 2 cửa sổ nhìn ra 2 mặt tiền, 1 mặt nhìn ra hồ, 1 mặt nhìn ra đường lớn- Nhà rộng rãi, thoáng mát- Có chỗ để xe máy miễn phí- Có nóng lạnh, điều hoàLiên hệ: cô Loan SĐT: 0912 423 060"
4,https://phongtro123.com/phong-tro-20m2-ccmn-mau-luong-ha-dong-pr585759.html,Ngày đăng16 giờ trước,Giá cho thuê2.4 triệu/tháng,Diện tích20m2,"Đường số 70, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",20.965223,2.5,105.7926833,"Cho thuê 1 phòng khép kín chung cư mini 5 tầng xây mới mậu lương2.400.000 đ/tháng- 20m2+Địa chỉ: tổ 13 mậu lương (cạnh nam xa la) phường kiến hưng - Hà Nội+Sát khu đô thị xa la, cách 500m ra bệnh viện K, bệnh viện 103 đường phan trọng tuệ, ngay cạnh cầu mậu lương. bán kính xung quanh tiện ích không thiếu gì. khoảng 100-200m là cac tiện tích, sân chơi của các khu chung cư nam xa la+Đặc điểm: khép kín, nóng lạnh, điều hoà, cửa sổ, ban công, rèm. Nhà hướng nam thoáng mát có view nhìn ra khu đô thị xala.+Để xe tầng 1, phơi đồ tầng 5, mỗi phòng có cửa sổ để phơi đồ riêng.+Điện nước theo giá chung.+Thanh toán linh hoạt, tiền nhà tháng một hoặc 3 tháng một, đặt cọc 1 tháng, riêng chủ giờ giấc thoải mái,+Diện tích các phòng như sau: 18m2- 20m2+an ninh tốt, có camera giám sát, bảo vệ 24/7...+Mỗi phòng tối đa 3 người lớn và 2 xe máy. Yêu cầu văn minh lịch sự. có đầy đủ giấy tờ tuỳ thân.+Liên hệ xem nhà tổ 13 mậu lương gần cầu mậu lương 1 cũ .Chị Hương"
5,https://phongtro123.com/cho-thue-phong-tro-khu-vuc-ha-dong-ha-noi-pr585418.html,Ngày đăng17 giờ trước,Giá cho thuê3.2 triệu/tháng,Diện tích25m2,"Ngõ 55 Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội",20.9796446,3.1,105.7923394,"Mình còn 4 CCMN cho thuêĐịa chỉ : Ngõ 55 Trần Phú, Hà Đông.( gần trường Đh Sư Phạm Nghệ Thuật Trung Ương, Đh Công Nghệ GTVT, Đh Kiến Trúc, Học Viện Bưu Chính Viễn Thông, đối diện chợ Phùng Khoang...)FULL Đồ: điều hòa, nóng lạnh, giường, tủ quần áo, tủ lạnh, bàn làm việc, máy giặt chung, bàn bếp.Để xe máy free tầng 1, cửa ra vào khóa vân tay.Hàng tuần có người dọn vệ sinh khu chung Liên hệ: SĐT và Zalo : 0335.649.789"
2,https://phongtro123.com/cho-thue-nha-ngo-444-thuy-khue-pr585762.html,Ngày đăng15 giờ trước,Giá cho thuê3 triệu/tháng,Diện tích50m2,"Ngõ 444 Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội",21.0476329,2.0,105.8105613,"Nếu bạn không thích ở ngõ sâu nhưng yên tĩnh,dân trí cao an ninh tốt, xin đừng đọc tiếpNếu bạn không thích ở gần chợ, ghét hồ nước xin đừng đọc tiếpNếu bạn không thích ở chung chủ - cặp vợ chồng trẻ sạch sẽ tâm lý, tiến bộ, cũng đừng nên đọc tiếpNếu bạn không thích dùng điện, nước, wifi giá rẻ, dùng xả láng, hãy bỏ qua bài này.Nếu bạn không thích có sẵn điều hoà, máy giặt, nóng lạnh, nồi cơm, bếp riêng và rộng rãi, cũng nên bỏ qua bài nàyNếu bạn không thích sống gần Cầu Giấy, Ba Đình, Tây Hồ hãy bỏ qua bài nàyCòn nếu bạn thích những điều trên thì hãy LH với mình, mình đang có phòng cho thuê với tất cả những điều trên:- Ở tầng 1 và 2, để xe thoải mái, tổng diện tích sử dụng 50m2- Nhà trong ngõ, khu Thuỵ Khuê – Bưởi- Điện 3,5k/số, nước, internet 50k/ một tháng- Điều hoà, máy giặt, khu bếp riêng, nồi cơm, lò vi sóng, bình nóng lạnh đầy đủ.LH O982088792 hoặc inbox để xem nhà nhé!!"
