stt,link,thoigian,giaphong,dientich,vido,kinhdo,drmd,diachi,chitiet
2,https://phongtro123.com/phong-tro-50m2-quan-dong-da-khong-trung-gian-pr586620.html,Ngày đăng22 giờ trước,Giá cho thuê3.5 triệu/tháng,Diện tích50m2,"5 ngõ 23 Phố Quốc Tử Giám, Phường Văn Chương, Quận Đống Đa, Hà Nội",21.0248712,2.7,105.8328825,"Gia đình chúng tôi cho thuê phòng tại địa chỉ trên (không qua trung gian)-Diện tích 50m2-Có bếp, nhà vệ sinh riêng-Có điều hòa-Công tơ điện riêng,công tơ nước riêngMọi thông tin xin vui lòng liên hệ : Cô Loan 0977170569 hoặc 0777318671"
0,https://phongtro123.com/phong-tro-gia-re-day-du-cau-dien-pr586645.html,Ngày đăng37 phút trước,Giá cho thuê1.2 triệu/tháng,Diện tích23m2,"132 Đường Cầu Diễn, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",21.0414963,2.4,105.7615844,"- Phòng rộng 18m2 nhà cao tầng- Sân phơi rộng rãi, chỗ để xe an ninh tốt- Điện 4k/số, nước 120k/người/tháng - nước máy sạch sông đà- Phòng trọ gần trường THPT Trí Đức, Bx Mỹ Đình, vv"
1,https://phongtro123.com/can-ho-khach-san-vnahomes-29-ngo-hang-chao-view-truc-dien-svd-hang-day-pr586634.html,Ngày đăng7 giờ trước,Giá cho thuê5.800 đồng/tháng,Diện tích30m2,"29 Ngõ Hàng Cháo, Phường Cát Linh, Quận Đống Đa, Hà Nội",21.0296641,3.9,105.8336981,"Tháng 5 này Tòa Nhà VnaHomes 29 Ngõ Hàng Cháo Còn 2 Căn Hộ View Trực Diện SVĐ Hàng Đẫy ????Vị trí đắc địa ngay giữa các cung đường chính của Thủ Đô như Nguyễn Thái Học, Tôn Đức Thắng, Cát Linh, Trịnh Hoài Đức Chỉ cách Lăng Bác 200m, Văn Miếu 100m, Bệnh Viện Saint Paul Hà Nội 100m Đối diện Cổng 12 SVĐ Hàng Đẫy, cổng cho các Tuyển Thủ bóng đá, đường rộng 3 ô tô tránh nhau Tầng 1 Hầm để xe, Tầng 2 Siêu Thị Mini, Tầng 3 - 11 Căn Hộ VnaHomes, Tầng 12 Libré Homestay, Tầng 13 Phòng giặt sấy sân phơi Giờ giấc tự do, có bảo vệ trực 24/24, khóa từ vân tay, camera an ninh, nhân viên dọn vệ sinh chung hàng tuần Trang bị nội thất đầy đủ có, dịch vụ bảo trì bảo dưỡng hoàn toàn miễn phí  SeaGame 31 sắp diễn ra còn chần chờ gì nữa không thuê ngay 1 căn hộ xem trọn vẹn nhiều bộ môn thi đấu tại SVĐ Hàng Đẫy  Giá Ưu Đãi: 5.800.000đ / tháng (Hợp đồng tối thiểu 3 tháng đóng 1 cọc 1)  Địa chỉ : 29 Ngõ Hàng Cháo, P. Cát Linh, Q. Đống Đa, Hà Nội  VnaHomes - Hệ Thống Quản Lý Vận Hành Cho Thuê Căn Hộ"
4,https://phongtro123.com/tinh-thanh/ha-noi/chinh-chu-cho-thue-phong-khep-kin-o-ngo-106-nguyen-ngoc-nai-gia-27-trieuthang.html,Ngày đăng12 giờ trước,Giá cho thuê2.8 triệu/tháng,Diện tích30m2,"24/106 Đường Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",20.99959,3.0,105.8247279,"Chính chủ cho thuê phòng khép kín ở ngõ 106 Nguyễn Ngọc Nại, giá 2,8 triệu/tháng. Phòng rộng 30m2, có cữa sổ, có nóng lạnh điều hoà có WC khép kín, có chổ để xe ở tầng 1.Ở riêng chủ đi về tự khoá mở. ô tô vào tận nhà.Còn phòng ở tầng 4 giá 2,8 triệu/tháng. Điện nước cả nhà dùng tự chia theo giá nhà nước.Ai có nhu cầu thuê liên hệ chủ nhà: ĐT 0945931616."
5,https://phongtro123.com/tinh-thanh/ha-noi/chinh-chu-cho-thue-phong-khep-kin-o-ngo-106-nguyen-ngoc-nai-gia-27-trieuthang-2.html,Ngày đăng12 giờ trước,Giá cho thuê3.1 triệu/tháng,Diện tích35m2,"Số 24 ngõ 106 Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",20.99959,1.9,105.8247279," Chính chủ cho thuê phòng khép kín ở ngõ 106 Nguyễn Ngọc Nại, giá 3,2 triệu/tháng. Phòng rộng 35m2, có cữa sổ,có ban công, có nóng lạnh điều hoà có WC khép kín, có chổ để xe ở tầng 1. Ở riêng chủ đi về tự khoá mở. ô tô vào tận nhà.Còn phòng ở tầng 2 giá 3,1 triệu/tháng. Điện nước cả nhà dùng tự chia theo giá nhà nước. Ai có nhu cầu thuê liên hệ chủ nhà: ĐT 0945931616. "
3,https://phongtro123.com/cho-thue-phong-trong-nha-5-tang-ngo-295-bui-xuong-trach-2-5trieu-thang-pr304665.html,Ngày đăng12 giờ trước,Giá cho thuê2.5 triệu/tháng,Diện tích20m2,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",20.9880064,3.7,105.8183255,"Cần cho thuê phòng trong nhà 5 tầng tại phố Bùi Xương Trạch Phường Khương Đình, Quận Thanh Xuân, Hà NộiCòn 2 loại giá phòng như sau;+ Còn phòng ở tầng 2 giá 2,5 triệu/tháng.+Phòng tầng 4 giá 2,3 triệu/ thángMỗi tầng 2 phòng dùng chung 1wc phòng rộng khoảng 20m2 đến 25m2, sàn gỗ, thoáng mát, ô tô vào tận nhàĐT 0945.931616 (chính chủ)"
