stt,link,thoigian,giaphong,dientich,vido,kinhdo,drmd,diachi,chitiet OK
6,https://phongtro123.com/cho-thue-phong-tro-chinh-chu-va-con-phong-o-ghep-pr585479.html,Ngày đăng21 giờ trước,Giá cho thuê3 triệu/tháng,Diện tích30m2,"Số nhà 50 ngõ 46 Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",20.9854206,1.9,105.7987566,"Chính chủ cho thuê CCMN và ở ghép Địa chỉ : Số nhà 50, ngõ 46 Tân Triều, Triều Khúc, Thanh XuânĐiện thoại: 0987570095---------------------------------------------THÔNG TIN CHI TIẾTNhà không chung chủ, đi lại tự do - thoải mái giờ giấcKhu vực dân trí cao, an ninh đảm bảo ( Có bảo vệ 24h), ra vào bằng khóa cửa vân tayGần chợ, gần các trường đại học, đường đoạn này thoáng.Nhà Full nội thất,điều hòa nóng lạnh, tủ quần áo, gác xép, bàn ăn, giườngNVS khép kínGiá :3xỞ đây miễn phí gửi xe ( không giới hạn số xe)Điện: 3.5k/ sốNước: 25k/ khối"
7,https://phongtro123.com/cho-thue-homestay-kieu-phong-tro-pr309848.html,Ngày đăng13 giờ trước,Giá cho thuê1.5 triệu/tháng,Diện tích20m2,"40C Đường Nguyễn Chánh, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",21.0092023,2.0,105.7948642,"Cho thuê nhà kiểu homestay 1,5tr/1ng/1th đầy đủ điện nước, bếp, vs, nóng lạnh, điều hòa. Nhà đẹp, gần BigC Thăng Long, các trường học.... . Địa chỉ ngách 5/204 Trần Duy Hưng, thông 20 Nguyễn Chánh, thông Trung Kính. Nhà 4 tầng, chỉ ở ghép 4 người/1 phòng lớn, 2 người phòng nhỏ nên rất thoải mái. Có thể thuê riêng phòng. bếp và để xe tầng 1, máy giặt tầng 4. Liên hệ trực tiếp chủ nhà. ( miễn môi giới)"
2,https://phongtro123.com/cho-thue-phong-ccmn-30m2-1khach-bep-1-ngu-ngay-nga-tu-so-3-6tr-pr586310.html,Ngày đăng6 giờ trước,Giá cho thuê3.6 triệu/tháng,Diện tích30m2,"16/183 Đường Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",20.9975522,3.6,105.8228263,"Mình có 1 Phòng CCMN 30m bếp riêng, ngủ riêng full đồ, đẹp tiện nghi ( video và hình thật của phòng) ngay Ngã Tư Sở.Nhà 5 tầng phòng tầng 2, đủ đồ: điều hòa, nóng lạnh, giường tủ, tủ bếp, máy giặt...Vị trí thuận tiện: 16 ngõ 183 Hoàng Văn Thái – ngay đường vào chung cư, ô tô qua lại, cách mặt phố 20m, gần NGÃ TƯ SỞĐể xe tầng 1, Giờ giấc tự do, ko chung chủMình chính chủ cho thuê 0886947898"
1,https://phongtro123.com/tinh-thanh/ha-noi/cho-thue-phong-gan-ben-xe-my-dinh.html,Ngày đăng6 giờ trước,Giá cho thuê3.3 triệu/tháng,Diện tích28m2,"Quận Cầu Giấy, Hà Nội",21.0362368,3.7,105.7905825,"MÌNH CÓ PHÒNG CCMN KHÉP KÍN CÁCH BẾN XE MỸ ĐÌNH 200m, 28m2 VỆ SINH khép kín , ban công cửa sổ rộng, thoáng, ĐẦY ĐỦ đồ số 21 ngõ 26A Đuờng Mỹ Đình ( thông ngõ 63/33 hẻm 21 Lê Đức Thọ).FULL : Giường, tủ, điều hòa, nóng lạnh, máy giặt, chăn ga đệm, ban công …Có Camera giám sát, khóa cổng vân tay. Để xe Free tầng 1 Giờ giấc tự do, không chung chủ------------------------------------------Số mình 0886826238, Bạn xem phòng alo mình trước 20' để không phải đợi nhé"
5,https://phongtro123.com/cc-cho-thue-phong-35m2-kieu-ccmn-1n1k-tai-me-tri-nam-tu-liem-canh-truong-cap-1-me-tri-pr583774.html,Ngày đăng10 giờ trước,Giá cho thuê5 triệu/tháng,Diện tích35m2,"Đường Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",21.0055267,2.6,105.7791327,"Chính chủ cho phòng kiểu CCMN tại số 12, ngõ 89 Mễ Trì Thượng, Mễ Trì, Nam Từ Liêm (cuối ngõ 4 Đồng Me đi vào khoảng 30m) trong tòa nhà 6 tầng thang máy, diện tích 35m2, 1 ngủ 1 khách, bếp ngăn riêng biệt với phòng không lo ám mùi. - Vị trí: cách mầm non Mễ Trì Hạ 50m, cách cấp 1&2 Mễ trì 50m, cách chợ Mễ Trì Hạ 100m, cách đường Mễ Trì 100m, cách The Garden 200m, cách Keangnam 500m... - TIỆN ÍCH:Nhà đã có đủ đồ như: điều hòa, nóng lạnh, tủ lạnh, máy giặt, giường, tủ, táp, bàn phấn, rèm, bàn ghế, tủ bếp, bếp từ, wifi tốc độ cao...+ Khu bếp ngăn tách riêng phòng ngủ+ Có cửa sổ thoáng mát + Để xe miễn phí+ Giờ giấc thoải mái+ Khóa vân tay, camera, wifi+ Thang máy+ Ô tô 16 chỗ vào sát nhà+ Bãi gửi ôtô cách nhà 50m - Diện tích: 35m2 - Giá: 5tr/tháng(Phòng như hình) - LHCC: 0969139826(Nhà mới xây xong vào ở được ngay, khách chỉ việc xách vali tới ở)"
8,https://phongtro123.com/phong-tro-1-3-trieu-thang-cho-sinh-vien-hoac-cong-nhan-pr315901.html,Ngày đăng11 giờ trước,Giá cho thuê1.4 triệu/tháng,Diện tích12m2,"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",21.0008143,3.2,105.8517814,"Gần trường Đại học Bách khoa, Kinh tế Quốc Dân, ĐH Xây Dựng, Phòng sạch sẽ, thoáng mát, có chỗ nấu ăn , có bình nóng lạnh, tủ lạnh, bếp ga ,có Internet, có sân phơi quần áo, an ninh tốt, không trung với chủ"
0,https://phongtro123.com/chinh-chu-cho-thue-phong-du-do-khep-kin-o-to-do-cua-2-6tr-pr586311.html,Ngày đăng6 giờ trước,Giá cho thuê2.6 triệu/tháng,Diện tích18m2,"126a/509 Phố Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",20.9981834,3.1,105.8185442,"Phòng khép kín đủ đồ giá 2,6trMình có phòng vệ sinh khép kín có đủ đồ: điều hòa, nóng lạnh, giường, máy giặt... NHƯ HÌNH. Ngay cạnh bờ hồ thoáng mát – SỐ 126A NGÕ 509 VŨ TÔNG PHAN.Ngõ ô tô đỗ cửa, thoáng mát, không chung chủ, Để xe tầng 1 - giờ giấc tự do đi khóa về mởAlo trước khi đến để không phải đợi nhé 0886.947.898"
4,https://phongtro123.com/cho-thue-can-ho-chung-cu-mini-khep-kin-36m2-nha-dep-ngo-165-duong-quang-ham-cau-giay-pr310290.html,Ngày đăng9 giờ trước,Giá cho thuê4.2 triệu/tháng,Diện tích36m2,"Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",21.039698299852166,3.0,105.80094547870947," Chính chủ cho thuê CCMN tại nhà số 14 ngõ 165/40 Dương Quảng Hàm, Cầu Giấy (Gần Đại Học Thủ Đô)* Vị trí: cách đường Dương Quảng Hàm 300m, cách đường Cầu Giấy 300m, cách đường Nguyễn Khánh Toàn 100m, cách đường Nguyễn Văn Huyên 100m, cách đường Quan Hoa 300m, cách Lotte Đào Tấn 500m, cách công viên Nghĩa Đô 5 phút đi bộ...Tiện ích gồm có️Điều hoà️Nóng lạnh️Tủ quần áo️Tủ lạnh️Máy giặt️Giường, đệm️Kệ bếp + tủ bếp️Vệ sinh khép kín️Có gác xép để đồ gọn gàng️Có 2 Ban công phơi quần áo thoáng rộng️Cửa sổ thoáng mát️Chỗ để xe free️Ko chung chủ, giờ giấc thoái mái 24/7️Khóa vân tay, camera, wifiDiện tích phòng 36m2 Giá: 4.2 tr(Chỉ việc xách vali vào ở. Chính chủ không qua môi giới. Ưu tiên hộ gia đình; Các bạn sinh viên ở sạch sẽ; người đi làm tử tế, lịch sự)"
3,https://phongtro123.com/cho-thue-phong-tro-khu-vuc-trieu-khuc-thanh-xuan-pr586308.html,Ngày đăng6 giờ trước,Giá cho thuê3.2 triệu/tháng,Diện tích20m2,"Ngõ 111 Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",20.9832336,1.9,105.8021262,"Cho thuê chính chủ xem phòng Free :* Còn 1 phòng duy nhất Tầng 2Địa chỉ : Ngõ 111 Triều Khúc Thanh XuânMô tả chung- Chính chủ miễn môi giới- Nội thất điều hòa, nóng lạnh, giường, tủ, kệ bếp, phơi đồ, để xe miễn phí, camera an ninh.- Hàng tuần có người qua dọn vệ sinh chung cả nhà thường xuyên.- Không ở chung chủ. Giờ giấc đi lại thoải mái, tiếp bạn bè vô tư miễn là lịch sự - Hợp đồng lâu dài không tăng giá, chu kỳ đóng tiền nhà 1 tháng 1 lần, đặt cọc 1 tháng tiền nhàLiên hệ SĐT - Zalo : 0335.649.789"
