stt,link,thoigian,giaphong,dientich,vido,kinhdo,drmd,diachi,chitiet
0,https://phongtro123.com/phong-khep-kin-sach-dep-quan-ba-dinh-2-pr585498.html,Ngày hết hạn15/04/2021,Giá cho thuê3.5 triệu/tháng,Diện tích16m2,"41 Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội",21.0355718,105.8105576,6.3,"- Phòng sạch đẹp, khách hàng lịch sự, văn minh, yên tĩnh. Điện nước đầy đủ.- Phòng có kệ bếp nấu ăn, wifi, tivi, điều hoà, nóng lạnh, máy giặt...- Vị trí gần công viên, an toàn văn minh, gần chợ, trường học, phố lớn..- Đ/chi: số 41 phố Linh Lang, Ba Đình, Hà Nội ( Chính chủ, ko ở chung chủ)"
6,https://phongtro123.com/tinh-thanh/ha-noi/phong-tro-moi-xay-22m2-gac-lung-8m2-chinh-chu-khu-bui-xuong-trach-thanh-xuan-gan-royal-city.html,Ngày hết hạn13/04/2021,Giá cho thuê3 triệu/tháng,Diện tích22m2,"Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",20.9880064,105.8183255,4.63,"Nhà tôi hiện có 8 phòng trọ mới xây cho thuê rộng 22m2, có gác lửng rộng 8m2, khép kín, chính chủ.Gần chợ, gần trường học, siêu thị, trung tâm thương mại.- Phòng khép kín gồm: Khu sinh hoạt chung, khu bếp, khu vệ sinh, gác lửng, ban công.- Phòng rộng 22m2, gác lửng 8m2, thoáng mát, có ban công rộng, 2 cửa sổ rộng.- Có bình nóng lạnh.- Có sân phơi chung rộng, có lắp camera.- Có hầm để xe (miễn phí), có camera giám sát 24/24.- Internet cáp quang tốc độ cao gói cước công ty, lướt web cực nhanh.- Thích hợp ở gia đình có em bé, sinh viên, nhân viên văn phòng...- Khu vực an ninh, đảm bảo môi trường sống sạch sẽ.- Nằm trong khu dân cư cao cấp, nội bộ, rất an ninh và yên tĩnh, ở chung với những người có trí thức, ý thức cao.- Giá: 3,000,000VND.Liên hệ Ms Nguyễn Thị Nhàn: 0904.054.183 để hẹn giờ xem phòng. 1/1/2019 là có thể đến nhận phòng."
3,https://phongtro123.com/cho-thue-phong-tro-chinh-chu-va-con-phong-o-ghep-pr585479.html,Ngày hết hạn14/04/2021,Giá cho thuê3 triệu/tháng,Diện tích30m2,"Số nhà 50 ngõ 46 Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",20.9854206,105.7987566,2.8,"Chính chủ cho thuê CCMN và ở ghép Địa chỉ : Số nhà 50, ngõ 46 Tân Triều, Triều Khúc, Thanh Xuân Điện thoại: 0987570095--------------------------------------------- THÔNG TIN CHI TIẾT Nhà không chung chủ, đi lại tự do - thoải mái giờ giấc Khu vực dân trí cao, an ninh đảm bảo ( Có bảo vệ 24h), ra vào bằng khóa cửa vân tay Gần chợ, gần các trường đại học, đường đoạn này thoáng. Nhà Full nội thất,điều hòa nóng lạnh, tủ quần áo, gác xép, bàn ăn, giườngNVS khép kínGiá :3x Ở đây miễn phí gửi xe ( không giới hạn số xe) Điện: 3.5k/ số Nước: 25k/ khối"
1,https://phongtro123.com/cho-thue-phong-tro-du-do-thuoc-nha-rieng-doi-dien-dh-ngoai-thuong-pr303130.html,Ngày hết hạn14/04/2021,Giá cho thuê2 triệu/tháng,Diện tích38m2,"32 Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",21.025896,105.8069162,5.3,"Mình thuê 1 căn nhà riêng để kinh doanh nhưng do ảnh hưởng của dịch Covid nên mình chuyển hướng công việc. Nhà đã lắp đặt ĐẦY ĐỦ TIỆN NGHI SẴN SỬ DỤNG: Máy giặt, tủ lạnh, quạt trần, nóng lạnh, bếp từ đôi, lò vi sóng, lò nướng, giường tủ - kệ - bàn ghế làm việc,….Có nhà bếp & Phòng ăn riêng + Phòng ngủ riêng + WC + Ban công rộng phơi đồ + Nguyên tầng 1 làm phòng khách & Khu để xe. Nhà riêng không chung chủ nên ăn ở đi lại rất thoải mái tự do.Nhà cạnh hồ đối diện trường ĐH Ngoại thương và Ngoại giao rất thuận tiện & sạch sẽ, hướng Đông Nam mát mẻ. Địa chỉ: 32 Chùa Láng, Đống Đa, HN-Giá: 2triệu/phòng/tháng.-Điện nước tính giá nhà nước rất rẻHiện mình còn phòng trống muốn cho thuê lại để đỡ gánh nặng chi phí hàng tháng. Mình đã thanh toán 1 cục 3 tháng & cọc 1 tháng. Bạn nào có nhu cầu thì liên hệ mình xem nhà nhé!Ms. Hoa: 0397.062.037 (đt+zalo)"
2,https://phongtro123.com/phong-tro-27m2-so-24-ngo-1-2-mo-lao-ha-dong-ha-noi-pr585480.html,Ngày hết hạn14/04/2021,Giá cho thuê3.2 triệu/tháng,Diện tích25m2,"24 Đường Nguyễn Trãi, Phường Mỗ Lao, Quận Hà Đông, Hà Nội",20.9900602,105.8013351,6.8,"Cho thuê phòng tro CCMN số 24 ngõ 1/2 mỗ lao,ngay sau bicC hà đông, gần các trường đại học: học viện an ninh, đại học kiến trúc, đại học bưu chính viễn thông,....Nội thất gồm có: điều hòa, tủ lạnh, giường, tủ quần áo,bàn bếp, nóng lạnh,quạt trần, bàn làm việc_Vệ sinh khép kín_An ninh đảm bảo : camera an ninh, khóa vân tay_Giờ giấc tự do, không chung chủ__ Chi tiết liên hệ: 0336788788"
5,https://phongtro123.com/toa-nha-moi-con-1-phong-tien-nghi-tai-mieu-dam-do-duc-duc-gia-chi-2-9tr-pr585441.html,Ngày hết hạn14/04/2021,Giá cho thuê2.9 triệu/tháng,Diện tích23m2,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",21.0055267,105.7791327,5.5,"Tôi còn 2 phòng tại Đỗ Đức Dục - Phạm Hùng xung quanh rất nhiều tiện ích, thuận tiện giao thông- Nằm tại khu dân cư văn minh lịch sự- Phòng 22m2 khu nấu ăn riêng sân phơi từng phòng- Nội thất đầy đủ cho sinh hoạt- Không chung chủ giờ giấc đi lại thoải máiLƯU Ý- ĐIỆN TƯ TRẢ THEO HÓA ĐƠN ( 2,2k/số)- GẦN BÃI ĐỂ OTO- NGÕ RỘNG BA GÁC RA VÀO THOẢI MAILIÊN HỆ XEM NHÀ NGAY"
4,https://phongtro123.com/cho-thue-phong-tro-sinh-vien-nguoi-di-lam-1-pr309045.html,Ngày hết hạn14/04/2021,Giá cho thuê2.5 triệu/tháng,Diện tích17m2,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",21.0347417,105.7946177,6.7,"Cho thuê phòng trọĐịa chỉ : ngõ 337 đường Cầu Giấy , Hà Nội .Phòng tầng 3 , khép kín , diện tích 17m2 , có ban công ,giường ,móc treo quần áo , bàn học .Tiện nghi nóng lạnh ,điều hòa , wifi.Giờ giấc thoải mái .Nhà cạnh chợ .An ninh tốt.Gần trạm xe bus , cách công viên Cầu Giấy 200m , gần các trường đhoc .Không nhận môi giới trung gian ,phòng 2tr5lh : 0975755948( cô Nhiên )"
