stt,link,thoigian,giaphong,dientich,vido,kinhdo,drmd,diachi,chitiet
1,https://phongtro123.com/phong-tro-khep-kin-vi-tri-dep-o-hao-nam-dong-da-hn-chinh-chu-pr585081.html,Ngày đăng8 giờ trước,Giá cho thuê3.3 triệu/tháng,Diện tích24m2,"22 ngõ 127 ngách 38 Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",21.0252091,2.7,105.8265875,"Cho thuê phòng trọ khép kín ở phố Hào Nam (chính chủ), diện tích 24m2 gồm 2 phòng:Phòng 1: 18m2 (ngủ + sinh hoạt chung)Phòng 2: 6m2 (bếp + vệ sinh)Phòng đầy đủ tiện nghi: nóng lạnh, điều hòa, tủ bếp...Ở khu vực trung tâm, yên tĩnh, riêng biệt không chung với chủ nhà, thuận tiện đường đi.Gần chợ, siêu thị, cửa hàng tiện ích, cửa hàng tạp hóa, các trường ĐH Văn hóa, Mỹ Thuật, Nhạc viện, Bệnh viện Hà Thành..Phòng riêng biệt, an ninh tốt.Chủ nhà dễ tính, tâm lý"
0,https://phongtro123.com/cho-thue-can-ho-mini-20m2-25m2-duong-tran-thai-tong-cau-giay-gia-chi-2-8tr-th-pr314274.html,Ngày đăng6 giờ trước,Giá cho thuê2.8 triệu/tháng,Diện tích20m2,"44/64/10 Đường Trần Thái Tông, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",21.0341545,1.9,105.7887281,"+Vị trí: số 10, ngõ 44/64/10 đường Trần thái Tông, Cầu Giấy, Hà Nôi(ngõ 44 đường Trần Thái Tông nằm ngay ở công làng mọi người nhé)+ Ngôi nhà cách đường Trần Thái Tông 300m, cách đường Xuân thủy 400m, cách đường Cầu Giấy 400m.+Diện tích: 20m2 - 25m2+Nội thất: Điều hòa, Giường, tủ quần áo, rèm, đệm, wifi...+Tiện ích: có chỗ nấu ăn chung, có máy giặt chung, mặt sàn gỗ.+An ninh tốt, có khóa vân tay ra vào+Giá cho thuê: 2.6tr - 2.8tr - 3tr - 3.2 triệu/thángLiên hệ: anh HÀđiện thoại: 0336.435.833"
4,https://phongtro123.com/cho-thue-phong-tro-tai-nguyen-an-ninh-truong-dinh-gan-dhkt-xd-bk-pr315520.html,Ngày đăng19 giờ trước,Giá cho thuê3 triệu/tháng,Diện tích30m2,"57/35 Đường Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",20.989013,2.5,105.845889,"Cho thuê chung cư mini tại Số 57 Ngõ 35 Phố Nguyễn An Ninh - Tương Mai - Hoàng Mai – Hà Nội.(Chính chủ không qua trung gian)- Phòng đẹp, thiết kế tiện dụng, thoáng mát, công trình khép kín, riêng tư độc lập, đảm bảo xem là thích.- Còn phòng 20-30m2 có điều hòa thoáng mát .- Nhà vệ sinh khép kín xịn, tiện nghi, có Nóng lạnh.- Điện, nước, internet giá rẻ, công tơ điện riêng. - Có cáp Tivi, camera 24/24 yên tâm an ninh.- Để xe tầng 1 tiện lợi miễn phí, Ô tô đỗ đón tận cửa.- Giá: 3,0-3,8 tr/tháng ( thanh toán 2 tháng một lần, cọc 1 tháng) .- Địa Chỉ: Số 57 Ngõ 35 Phố Nguyễn An Ninh – Hà Nội. Liên hệ gọi điện hẹn trước thời gian xem phòng vào khoảng 11h-14h sáng và 17h-19h chiều, ngoài giờ đó thì gọi điện lhe trước. : Chị Trang 0934.672.806"
3,https://phongtro123.com/chinh-chu-cho-thue-ccmn-khu-vuc-chua-ha-cau-giay-pr586822.html,Ngày đăng16 giờ trước,Giá cho thuê2.7 triệu/tháng,Diện tích28m2,"42 Chùa Hà, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",21.035776,3.1,105.7951509,"Cách mặt phố Chùa Hà 5m. Sát tòa Discovery Complex.Phòng rộng rãi, đủ tiện nghi: bình nóng lạnh, internet, điều hòa, tủ, giường,bếp, vệ sinh khép kín.Không chung chủ, giờ giấc thoải mái, điện nước giá dân. Chỗ để xe máy miễn phí.Giá từ 2tr7-3tr6"
2,https://phongtro123.com/chinh-chu-cho-thue-phong-tro-pho-hang-quat-pr586837.html,Ngày đăng11 giờ trước,Giá cho thuê2.2 triệu/tháng,Diện tích20m2,"43 Hàng Quạt, Phường Hàng Gai, Quận Hoàn Kiếm, Hà Nội",21.0325947,3.2,105.8491493,"Chính chủ cho thuê phòng trọ phố hàng Quạt , phòng ở tầng 2 , có diện tích 20m2, tại số 43 Hàng Quạt, Phòng đã có 1 số đồ nội thất như điều hòa - giường - tủ, bàn ,,,giá thuê 2,2 triệu/tháng"
