giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien
2000000,34.0,21.02320596565,105.8968488932307,nhatang,2.2,51.3,khepkin,1,4
3500000,36.0,20.9904792404,105.81823673141852,nhatang,2.4,73.63,khepkin,6,3
2500000,30.0,20.99599990521,105.84897338496656,nhatang,2.1,2.0,khepkin,2,1
4000000,35.0,20.99883601848,105.8708469269406,nhatang,3.3,52.6,khepkin,1,2
3500000,45.0,20.97665789546,105.82391994946568,nhatang,2.3,56.0,khepkin,5,1
3000000,30.0,20.97007390794,105.78976855219024,nhatang,3.6,5.8,khepkin,9,3
900000,15.0,21.029456,105.775094,nhacap,3.5,5.0,kkk,1,0
4300000,40.0,21.008818,105.781849,ccmn,5.5,46.0,khepkin,5,4
3000000,20.0,21.000693,105.8194,nhatang,3.7,73.5,khepkin,6,3
6600000,50.0,21.012272,105.807062,nhatang,4.5,37.5,khepkin,10,8
3500000,30.0,20.96347,105.788393,nhatang,5.2,20.0,khepkin,4,2
3400000,25.0,21.052268,105.811574,nhatang,4.8,87.0,khepkin,10,10
2800000,25.0,20.988254,105.836774,ccmn,3.5,25.0,kkk,4,3
2500000,20.0,20.991376,105.817363,nhatang,4.18,5.0,kkk,2,3
2800000,15.0,20.990847,105.831857,nhatang,4.1,37.0,khepkin,4,2
2700000,15.0,20.990847,105.831857,nhatang,4.1,100.79,khepkin,4,2
3600000,28.0,21.008912,105.796743,nhatang,3.5,23.0,khepkin,5,4
2770000,15.0,20.990847,105.831857,nhatang,4.1,100.79,khepkin,8,2
3000000,30.0,21.014343,105.849397,nhatang,3.5,11.5,khepkin,4,3
3500000,28.0,21.028082,105.795364,nhatang,3.5,15.0,khepkin,5,2
3500000,25.0,20.9874843,105.8124835,ccmn,4.0,50.0,khepkin,5,4
2800000,20.0,20.9697318,105.7884985,nhatang,5.57,5.0,khepkin,6,4
3500000,30.0,21.0301539,105.7742632,nhatang,6.16,3.0,khepkin,7,3
5000000,35.0,21.010324,105.777446,ccmn,4.8,50.0,khepkin,8,5
3300000,28.0,20.994409,105.776969,ccmn,5.4,49.7,khepkin,10,10
2800000,30.0,20.999623,105.824757,nhatang,3.0,40.0,khepkin,4,3
2900000,30.0,20.999623,105.824757,nhatang,3.7,40.0,khepkin,6,3
3500000,30.0,20.995139,105.816691,nhatang,5.0,70.0,khepkin,4,5
2500000,15.0,21.020601,105.828399,nhatang,3.5,50.0,khepkin,5,2
2300000,28.0,20.994409,105.776969,ccmn,2.5,153.8,khepkin,5,6
3600000,30.0,21.03511,105.799681,ccmn,3.8,50.0,khepkin,9,5
2800000,30.0,20.999623,105.824757,nhatang,3.7,30.0,khepkin,8,7
2000000,15.0,20.984757,105.876218,nhatang,3.0,84.0,kkk,3,2
3500000,27.0,21.078894,105.816791,nhatang,3.9,40.0,khepkin,10,5
2300000,23.0,20.964932,105.767329,nhatang,5.2,43.2,khepkin,8,3
3100000,35.0,20.998955,105.824653,nhatang,4.0,50.0,khepkin,4,5
2700000,25.0,21.0713783,105.7953947,nhatang,3.3,105.12,khepkin,2,3
3500000,25.0,21.01635,105.8048,Nhatang,2.7,51.9,Khepkin,4,7
2700000,15.0,21.050267,105.790952,nhatang,6.3,40.0,khepkin,2,3
2400000,25.5,21.051109,105.79055,nhatang,5.6,85.0,khepkin,4,3
900000,14.0,21.0538868,105.7876175,nhacap,3.2,120.0,kkk,1,1
4200000,42.0,21.053614,105.788117,nhatang,7.8,5.0,khepkin,3,2
4100000,42.0,21.053614,105.788117,nhatang,7.8,79.31,khepkin,3,2
2600000,16.0,21.0565362,105.7843483,nhatang,7.8,5.0,khepkin,4,2
